[['v', '.', '.', '.', '>', '>', '.', 'v', 'v', '>'], ['.', 'v', 'v', '>', '>', '.', 'v', 'v', '.', '.'], ['>', '>', '.', '>', 'v', '>', '.', '.', '.', 'v'], ['>', '>', 'v', '>', '>', '.', '>', '.', 'v', '.'], ['v', '>', 'v', '.', 'v', 'v', '.', 'v', '.', '.'], ['>', '.', '>', '>', '.', '.', 'v', '.', '.', '.'], ['.', 'v', 'v', '.', '.', '>', '.', '>', 'v', '.'], ['v', '.', 'v', '.', '.', '>', '>', 'v', '.', 'v'], ['.', '.', '.', '.', 'v', '.', '.', 'v', '.', '>']]
         19132957 function calls (19126077 primitive calls) in 5.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7810928    1.997    0.000    3.761    0.000 solve.py:29(move)
  5120549    1.497    0.000    1.764    0.000 solve.py:23(get_next)
        1    1.298    1.298    5.111    5.111 solve.py:39(solve1)
5995167/5994752    0.315    0.000    0.315    0.000 {built-in method builtins.len}
     1804    0.053    0.000    0.053    0.000 {built-in method posix.stat}
      391    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
      373    0.021    0.000    0.021    0.000 {built-in method builtins.compile}
  767/757    0.018    0.000    0.053    0.000 {built-in method builtins.__build_class__}
       66    0.018    0.000    0.021    0.000 {built-in method _imp.create_dynamic}
      633    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
    66/38    0.009    0.000    0.045    0.001 {built-in method _imp.exec_dynamic}
      362    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
      736    0.007    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
   211/59    0.005    0.000    0.012    0.000 sre_parse.py:469(_parse)
      391    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      391    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     7440    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    741/1    0.004    0.000    5.481    5.481 {built-in method builtins.exec}
     3863    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      391    0.003    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      493    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     8042    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     3863    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1166    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    15755    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      782    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.002    0.001    0.003    0.001 {built-in method io.open}
   374/56    0.002    0.000    0.006    0.000 sre_compile.py:71(_compile)
      362    0.002    0.000    0.026    0.000 textwrap.py:414(dedent)
     1166    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    500/4    0.002    0.000    0.370    0.092 <frozen importlib._bootstrap>:978(_find_and_load)
      475    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    17422    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1289    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    476/4    0.002    0.000    0.366    0.091 <frozen importlib._bootstrap>:663(_load_unlocked)
      475    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      563    0.002    0.000    0.004    0.000 functools.py:37(update_wrapper)
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      840    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa4a100}
     1166    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.TextIOWrapper' objects}
2933/1683    0.002    0.000    0.219    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     5491    0.002    0.000    0.007    0.000 {method 'join' of 'str' objects}
    500/4    0.002    0.000    0.370    0.092 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     4189    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      286    0.001    0.000    0.006    0.000 overrides.py:72(verify_matching_signatures)
     3196    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
       26    0.001    0.000    0.004    0.000 __init__.py:316(namedtuple)
      153    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
     2590    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      457    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      316    0.001    0.000    0.032    0.000 overrides.py:166(decorator)
     8512    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
  462/147    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
     4077    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        8    0.001    0.000    0.002    0.000 enum.py:140(__new__)
      475    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      391    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       51    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      591    0.001    0.000    0.024    0.000 re.py:273(_compile)
    391/4    0.001    0.000    0.366    0.091 <frozen importlib._bootstrap_external>:722(exec_module)
     3726    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     7134    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      391    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
  475/472    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      274    0.001    0.000    0.004    0.000 function_base.py:451(add_newdoc)
     2620    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
     1803    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       51    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      666    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      782    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1178    0.001    0.000    0.001    0.000 typing.py:709(__setattr__)
      848    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      457    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.001    0.001    0.005    0.005 solve.py:13(get_input)
   178/56    0.001    0.000    0.013    0.000 sre_parse.py:411(_parse_sub)
      817    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      457    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
   372/35    0.001    0.000    0.259    0.007 {built-in method builtins.__import__}
      231    0.001    0.000    0.011    0.000 _decorators.py:368(decorator)
       85    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      676    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1455    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     3118    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      304    0.001    0.000    0.002    0.000 typing.py:113(_type_check)
      157    0.001    0.000    0.002    0.000 typing.py:608(__init__)
     3118    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      500    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      494    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        2    0.000    0.000    0.005    0.002 base.py:1(<module>)
      497    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      391    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      698    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1455    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      475    0.000    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      391    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2348    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      553    0.000    0.000    0.000    0.000 functools.py:67(wraps)
    652/4    0.000    0.000    0.365    0.091 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        4    0.000    0.000    0.017    0.004 numeric.py:1(<module>)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       56    0.000    0.000    0.022    0.000 sre_compile.py:759(compile)
     1528    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1178    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
      828    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      625    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1174    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       62    0.000    0.000    0.001    0.000 config.py:424(register_option)
      500    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      391    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      391    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     1232    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      579    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
     1898    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       56    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      987    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      826    0.000    0.000    0.005    0.000 _decorators.py:388(<genexpr>)
      860    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      107    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      763    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      160    0.000    0.000    0.013    0.000 _decorators.py:483(__call__)
      274    0.000    0.000    0.001    0.000 function_base.py:419(_needs_add_docstring)
      170    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
     1245    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      153    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       25    0.000    0.000    0.222    0.009 __init__.py:1(<module>)
     1001    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.004    0.004 frame.py:456(DataFrame)
      274    0.000    0.000    0.001    0.000 function_base.py:437(_add_docstring)
      609    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       81    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  449/230    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
      406    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
       56    0.000    0.000    0.013    0.000 sre_parse.py:913(parse)
        1    0.000    0.000    0.007    0.007 defchararray.py:17(<module>)
      500    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        2    0.000    0.000    0.110    0.055 __init__.py:7(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      461    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      475    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
      126    0.000    0.000    0.000    0.000 expr.py:192(<genexpr>)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       56    0.000    0.000    0.000    0.000 enum.py:841(__and__)
      118    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
        1    0.000    0.000    0.001    0.001 series.py:195(Series)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     1863    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       20    0.000    0.000    0.000    0.000 generic.py:39(create_pandas_abc_type)
       63    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
    71/63    0.000    0.000    0.003    0.000 typing.py:340(__getitem__)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
    71/51    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
  141/130    0.000    0.000    0.005    0.000 typing.py:248(inner)
        1    0.000    0.000    0.032    0.032 multiarray.py:7(<module>)
      303    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      108    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.004    0.004 generic.py:191(NDFrame)
